TaxID	CLARK	Kaiju	Kraken
738	2236	NA	NA	NA
739	1603	NA	NA	NA
740	1922	NA	NA	NA
741	559	NA	NA	NA
742	811	NA	NA	NA
743	727	NA	NA	NA
744	608	NA	NA	NA
745	1684	NA	NA	NA
746	1544	NA	NA	NA
747	2179	NA	NA	NA
748	1030	NA	NA	NA
749	66	NA	NA	NA
750	1031	NA	NA	NA
751	341	NA	NA	NA
752	1745	NA	NA	NA
753	1732	NA	NA	NA
754	1084	NA	NA	NA
755	1360	NA	NA	NA
756	1364	NA	NA	NA
757	2268	NA	NA	NA
758	1334	NA	NA	NA
759	123	NA	NA	NA
760	2244	NA	NA	NA
761	1112	NA	NA	NA
762	319	NA	NA	NA
763	1637	NA	NA	NA
764	1526	NA	NA	NA
765	380	NA	NA	NA
766	2234	NA	NA	NA
767	1971	NA	NA	NA
768	201	NA	NA	NA
769	1914	NA	NA	NA
770	2143	NA	NA	NA
771	1736	NA	NA	NA
772	2245	NA	NA	NA
773	2247	NA	NA	NA
774	1449	NA	NA	NA
775	1527	NA	NA	NA
776	88	NA	NA	NA
777	562	NA	NA	NA
778	742	NA	NA	NA
779	743	NA	NA	NA
780	1129	NA	NA	NA
781	713	NA	NA	NA
782	1598	NA	NA	NA
783	352	NA	NA	NA
784	45	NA	NA	NA
785	1891	NA	NA	NA
786	1799	NA	NA	NA
787	939	NA	NA	NA
788	543	NA	NA	NA
789	271	NA	NA	NA
790	1315	NA	NA	NA
791	1546	NA	NA	NA
792	672	NA	NA	NA
793	877	NA	NA	NA
794	815	NA	NA	NA
795	122	NA	NA	NA
796	1993	NA	NA	NA
797	1503	NA	NA	NA
798	1770	NA	NA	NA
799	299	NA	NA	NA
800	300	NA	NA	NA
801	301	NA	NA	NA
802	302	NA	NA	NA
803	1771	NA	NA	NA
804	1019	NA	NA	NA
805	1802	NA	NA	NA
806	810	NA	NA	NA
807	581	NA	NA	NA
808	1083	NA	NA	NA
809	1395	NA	NA	NA
810	453	NA	NA	NA
811	616	NA	NA	NA
812	822	NA	NA	NA
813	617	NA	NA	NA
814	1737	NA	NA	NA
815	1545	NA	NA	NA
816	1050	NA	NA	NA
817	1819	NA	NA	NA
818	1821	NA	NA	NA
819	1160	NA	NA	NA
820	725	NA	NA	NA
821	265	NA	NA	NA
822	1387	NA	NA	NA
823	1458	NA	NA	NA
824	340	NA	NA	NA
825	848	NA	NA	NA
826	171	NA	NA	NA
827	862	NA	NA	NA
828	684	NA	NA	NA
829	508	NA	NA	NA
830	1628	NA	NA	NA
831	1138	NA	NA	NA
832	1139	NA	NA	NA
833	2235	NA	NA	NA
834	823	NA	NA	NA
835	2126	NA	NA	NA
836	1162	NA	NA	NA
837	168	NA	NA	NA
838	375	NA	NA	NA
839	3	NA	NA	NA
840	199	NA	NA	NA
841	740	NA	NA	NA
842	141	NA	NA	NA
843	197	NA	NA	NA
844	431	NA	NA	NA
845	1767	NA	NA	NA
846	111	NA	NA	NA
847	1801	NA	NA	NA
848	2278	NA	NA	NA
849	748	NA	NA	NA
850	430	NA	NA	NA
851	1331	NA	NA	NA
852	2273	NA	NA	NA
853	2257	NA	NA	NA
854	241	NA	NA	NA
855	1272	NA	NA	NA
856	1124	NA	NA	NA
857	940	NA	NA	NA
858	278	NA	NA	NA
859	279	NA	NA	NA
860	1898	NA	NA	NA
861	2251	NA	NA	NA
862	1220	NA	NA	NA
863	487	NA	NA	NA
864	492	NA	NA	NA
865	1686	NA	NA	NA
866	1837	NA	NA	NA
867	1838	NA	NA	NA
868	1178	NA	NA	NA
869	870	NA	NA	NA
870	43	NA	NA	NA
871	1313	NA	NA	NA
872	1312	NA	NA	NA
873	1943	NA	NA	NA
874	2110	NA	NA	NA
875	204	NA	NA	NA
876	785	NA	NA	NA
877	901	NA	NA	NA
878	534	NA	NA	NA
879	2159	NA	NA	NA
880	2049	NA	NA	NA
881	1482	NA	NA	NA
882	1190	NA	NA	NA
883	125	NA	NA	NA
884	775	NA	NA	NA
885	573	NA	NA	NA
886	574	NA	NA	NA
887	590	NA	NA	NA
888	724	NA	NA	NA
889	320	NA	NA	NA
890	1709	NA	NA	NA
891	949	NA	NA	NA
892	179	NA	NA	NA
893	1681	NA	NA	NA
894	1849	NA	NA	NA
895	365	NA	NA	NA
896	226	NA	NA	NA
897	1404	NA	NA	NA
898	1405	NA	NA	NA
899	287	NA	NA	NA
900	1106	NA	NA	NA
901	154	NA	NA	NA
902	1337	NA	NA	NA
903	1239	NA	NA	NA
904	1428	NA	NA	NA
905	1632	NA	NA	NA
906	1436	NA	NA	NA
907	872	NA	NA	NA
908	367	NA	NA	NA
909	148	NA	NA	NA
910	1318	NA	NA	NA
911	2267	NA	NA	NA
912	359	NA	NA	NA
913	1380	NA	NA	NA
914	126	NA	NA	NA
915	1412	NA	NA	NA
916	1348	NA	NA	NA
917	1629	NA	NA	NA
918	1164	NA	NA	NA
919	962	NA	NA	NA
920	1037	NA	NA	NA
921	2154	NA	NA	NA
922	1394	NA	NA	NA
923	100	NA	NA	NA
924	1038	NA	NA	NA
925	835	NA	NA	NA
926	500	NA	NA	NA
927	421	NA	NA	NA
928	1574	NA	NA	NA
929	933	NA	NA	NA
930	1464	NA	NA	NA
931	2240	NA	NA	NA
932	2241	NA	NA	NA
933	1966	NA	NA	NA
934	381	NA	NA	NA
935	495	NA	NA	NA
936	2030	NA	NA	NA
937	2031	NA	NA	NA
938	1828	NA	NA	NA
939	536	NA	NA	NA
940	1469	NA	NA	NA
941	1947	NA	NA	NA
942	1117	NA	NA	NA
943	2098	NA	NA	NA
944	2227	NA	NA	NA
945	2228	NA	NA	NA
946	1123	NA	NA	NA
947	516	NA	NA	NA
948	1554	NA	NA	NA
949	2260	NA	NA	NA
950	1599	NA	NA	NA
951	526	NA	NA	NA
952	160	NA	NA	NA
953	1076	NA	NA	NA
954	132	NA	NA	NA
955	985	NA	NA	NA
956	892	NA	NA	NA
957	992	NA	NA	NA
958	444	NA	NA	NA
959	37	NA	NA	NA
960	1500	NA	NA	NA
961	1481	NA	NA	NA
962	1933	NA	NA	NA
963	1349	NA	NA	NA
964	2221	NA	NA	NA
965	871	NA	NA	NA
966	1489	NA	NA	NA
967	327	NA	NA	NA
968	1073	NA	NA	NA
969	1077	NA	NA	NA
970	1354	NA	NA	NA
