TaxID	Kraken	Kaiju	CLARK
759	1584	NA	NA	NA
760	1586287	NA	2	NA
761	1586287	NA	NA	NA
762	158683	NA	9	NA
763	158683	NA	NA	NA
764	158822	NA	NA	10
765	158836	NA	NA	1
766	159	NA	NA	NA
767	159087	NA	3	NA
768	159087	NA	NA	NA
769	159150	17	NA	NA
770	159150	NA	NA	NA
771	1592897	NA	NA	1
772	16	NA	NA	NA
773	160	NA	NA	NA
774	1608628	NA	1	NA
775	1608628	NA	NA	1
776	1608628	NA	NA	NA
777	1609966	NA	1	NA
778	1609966	NA	NA	NA
779	1609977	NA	2	NA
780	1609977	NA	NA	NA
781	161	NA	NA	NA
782	1610493	NA	2	NA
783	1610493	NA	NA	NA
784	161398	NA	1	NA
785	161398	NA	NA	NA
786	161895	NA	1	NA
787	161895	NA	NA	NA
788	161899	NA	1	NA
789	161899	NA	NA	NA
790	1619308	NA	1	NA
791	1619308	NA	NA	NA
792	1619313	21	NA	NA
793	1619313	NA	NA	21
794	1619313	NA	NA	NA
795	162	NA	NA	NA
796	162209	NA	1	NA
797	162209	NA	NA	NA
798	1623296	NA	1	NA
799	1623296	NA	NA	NA
800	163	NA	NA	NA
801	1630135	NA	2	NA
802	1630135	NA	NA	NA
803	1630693	NA	1	NA
804	1630693	NA	NA	NA
805	163164	NA	NA	4
806	1632864	NA	1	NA
807	1632864	NA	NA	NA
808	1636182	NA	1	NA
809	1636182	NA	NA	NA
810	1637999	NA	1	NA
811	1637999	NA	NA	NA
812	164	NA	NA	NA
813	1642647	NA	7	NA
814	1642647	NA	NA	NA
815	164348	NA	1	NA
816	164348	NA	NA	NA
817	1643951	NA	1	NA
818	1643951	NA	NA	NA
819	1644061	NA	8	NA
820	1644061	NA	NA	NA
821	1644130	NA	NA	2
822	164450	NA	1	NA
823	164450	NA	NA	NA
824	1647413	NA	2	NA
825	1647413	NA	NA	NA
826	1647469	NA	1	NA
827	1647469	NA	NA	NA
828	1648404	NA	1	NA
829	1648404	NA	NA	NA
