TaxID	Kraken	Kaiju	CLARK
826	1136	NA	NA	NA
827	113653	NA	4	NA
828	113653	NA	NA	NA
829	1136534	NA	2	NA
830	1136534	NA	NA	NA
831	1136941	NA	12	NA
832	1136941	NA	NA	6
833	1136941	NA	NA	NA
834	1137	NA	NA	NA
835	1138	NA	NA	NA
836	1138822	NA	23	NA
837	1138822	NA	NA	14
838	1138822	NA	NA	NA
839	1139	NA	NA	NA
840	114	NA	NA	NA
841	1140	NA	NA	NA
842	1141	NA	NA	NA
843	114186	NA	NA	4
844	1141883	17	NA	NA
845	1141883	NA	53	NA
846	1141883	NA	NA	21
847	1141883	NA	NA	NA
848	1142	NA	11	NA
849	1142	NA	NA	NA
850	1142394	NA	20	NA
851	1142394	NA	NA	NA
852	1142511	NA	1	NA
853	1142511	NA	NA	NA
854	114277	NA	3	NA
855	114277	NA	NA	NA
856	1143	NA	NA	NA
857	114380	NA	2	NA
858	114380	NA	NA	NA
859	1144	NA	NA	NA
860	1144275	NA	23	NA
861	1144275	NA	NA	NA
862	1144748	NA	14	NA
863	1144748	NA	NA	3
864	1144748	NA	NA	NA
865	1145	NA	NA	NA
866	1145276	18	NA	NA
867	1145276	NA	21	NA
868	1145276	NA	NA	20
869	1145276	NA	NA	NA
870	1146	NA	NA	NA
871	114615	NA	10	NA
872	114615	NA	NA	NA
873	114616	NA	NA	2
874	114627	NA	3	NA
875	114627	NA	NA	NA
876	1146883	NA	17	NA
877	1146883	NA	NA	NA
878	1147	NA	5	NA
879	1147	NA	NA	NA
880	1147128	NA	16	NA
881	1147128	NA	NA	NA
882	1147129	NA	2	NA
883	1147129	NA	NA	NA
884	1147786	NA	9	NA
885	1147786	NA	NA	NA
886	1148	NA	11	NA
887	1148	NA	NA	2
888	1148	NA	NA	NA
889	1148157	17	NA	NA
890	1148157	NA	NA	15
891	1148157	NA	NA	NA
892	1149	NA	NA	NA
893	1149952	NA	NA	1
894	115	NA	NA	NA
895	1150	NA	2	NA
896	1150	NA	NA	NA
897	1150389	30	NA	NA
898	1150389	NA	235	NA
899	1150389	NA	NA	30
900	1150389	NA	NA	NA
901	1150460	NA	2	NA
902	1150460	NA	NA	NA
903	1150461	NA	48	NA
904	1150461	NA	NA	NA
905	1150468	NA	29	NA
906	1150468	NA	NA	NA
907	1150469	NA	19	NA
908	1150469	NA	NA	NA
909	1150621	NA	4	NA
910	1150621	NA	NA	NA
911	1150991	NA	1	NA
912	1150991	NA	NA	NA
913	1151	NA	NA	NA
914	1151116	NA	2	NA
915	1151116	NA	NA	NA
916	1151117	NA	6	NA
917	1151117	NA	NA	NA
918	1152	NA	NA	NA
919	1153	NA	NA	NA
920	1154	NA	NA	NA
921	1154756	NA	6	NA
922	1154756	NA	NA	NA
923	1155	NA	NA	NA
924	1155071	NA	18	NA
925	1155071	NA	NA	NA
926	1155096	NA	4	NA
927	1155096	NA	NA	NA
928	1155739	NA	NA	8
929	1155766	NA	9	NA
930	1155766	NA	NA	NA
931	1156	NA	NA	NA
932	1156431	1982	NA	NA
933	1156431	NA	720	NA
934	1156431	NA	NA	1972
935	1156431	NA	NA	NA
936	1156433	1600	NA	NA
937	1156433	NA	616	NA
938	1156433	NA	NA	1601
939	1156433	NA	NA	NA
940	1156913	NA	8	NA
941	1156913	NA	NA	NA
942	1156937	NA	20	NA
943	1156937	NA	NA	NA
944	1157	NA	NA	NA
945	1157951	NA	1	NA
946	1157951	NA	NA	NA
947	1158	NA	NA	NA
948	115808	NA	4	NA
949	115808	NA	NA	3
950	115808	NA	NA	NA
951	1158459	16	NA	NA
952	1158459	NA	3	NA
953	1158459	NA	NA	16
954	1158459	NA	NA	NA
955	1159	NA	NA	NA
956	1159491	NA	6	NA
957	1159491	NA	NA	NA
958	1159554	NA	2	NA
959	1159554	NA	NA	NA
960	1159613	NA	5	NA
961	1159613	NA	NA	NA
962	115992	NA	12	NA
963	115992	NA	NA	NA
964	116	NA	NA	NA
965	1160	NA	NA	NA
966	1160721	11	NA	NA
967	1160721	NA	96	NA
968	1160721	NA	NA	16
969	1160721	NA	NA	NA
970	1160895	NA	5	NA
971	1160895	NA	NA	NA
972	1161	NA	23	NA
973	1161	NA	NA	NA
974	1162	NA	7	NA
975	1162	NA	NA	NA
976	1162668	NA	26	NA
977	1162668	NA	NA	NA
978	1163	NA	1	NA
979	1163	NA	NA	NA
980	1163399	NA	6	NA
981	1163399	NA	NA	NA
982	1163617	NA	21	NA
983	1163617	NA	NA	NA
984	1163710	NA	NA	6
985	1163745	NA	1	NA
986	1163745	NA	NA	NA
987	1163748	NA	3	NA
988	1163748	NA	NA	NA
989	1164	NA	NA	3
990	1164	NA	NA	NA
